Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->Desert Eagle | Ocean Drive (Minimal Wear) (red)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Battle-Scarred) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Minimal Wear) (purple)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Minimal Wear) (purple)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Factory New) (purple)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Battle-Scarred) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Battle-Scarred) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->MAC-10 | Toybox (Well-Worn) (pink)
Operation Riptide Case->StatTrak™ FAMAS | ZX Spectron (Field-Tested) (purple)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Factory New) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Battle-Scarred) (purple)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Battle-Scarred) (purple)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Well-Worn) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Factory New) (pink)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Factory New) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Minimal Wear) (purple)
Operation Riptide Case->StatTrak™ PP-Bizon | Lumen (Battle-Scarred) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Minimal Wear) (purple)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Field-Tested) (pink)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Well-Worn) (blue)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->StatTrak™ Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ MAG-7 | BI83 Spectrum (Minimal Wear) (purple)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Well-Worn) (pink)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Snakebite Case->AK-47 | Slate (Minimal Wear) (purple)
Prisma 2 Case->P2000 | Acid Etched (Battle-Scarred) (purple)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Snakebite Case->M249 | O.S.I.P.R. (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->PP-Bizon | Night Riot (Battle-Scarred) (blue)
Clutch Case->AWP | Mortis (Field-Tested) (pink)
Clutch Case->XM1014 | Oxide Blaze (Well-Worn) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->StatTrak™ Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->StatTrak™ XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Fracture Case->M4A4 | Tooth Fairy (Minimal Wear) (pink)
Danger Zone Case->M4A4 | Magnesium (Field-Tested) (blue)
Danger Zone Case->M4A4 | Magnesium (Battle-Scarred) (blue)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Prisma 2 Case->R8 Revolver | Bone Forged (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->MAG-7 | SWAG-7 (Field-Tested) (purple)
Clutch Case->XM1014 | Oxide Blaze (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Factory New) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->USP-S | Cortex (Field-Tested) (pink)
Clutch Case->P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->StatTrak™ AUG | Stymphalian (Minimal Wear) (pink)
Clutch Case->UMP-45 | Arctic Wolf (Field-Tested) (purple)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->XM1014 | Oxide Blaze (Factory New) (blue)
Clutch Case->P2000 | Urban Hazard (Battle-Scarred) (blue)
Prisma Case->Galil AR | Akoben (Minimal Wear) (blue)
Prisma Case->P90 | Off World (Factory New) (blue)
Prisma Case->Galil AR | Akoben (Factory New) (blue)
Prisma Case->MP5-SD | Gauss (Minimal Wear) (purple)
Prisma Case->Galil AR | Akoben (Field-Tested) (blue)
Prisma Case->P250 | Verdigris (Factory New) (blue)
Prisma Case->Galil AR | Akoben (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Battle-Scarred) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Well-Worn) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Factory New) (blue)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->Desert Eagle | Ocean Drive (Field-Tested) (red)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Minimal Wear) (purple)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->MP7 | Guerrilla (Battle-Scarred) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ Five-SeveN | Boost Protocol (Factory New) (purple)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Minimal Wear) (purple)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Minimal Wear) (purple)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Factory New) (blue)
Operation Riptide Case->StatTrak™ MAC-10 | Toybox (Field-Tested) (pink)
Operation Riptide Case->Dual Berettas | Tread (Battle-Scarred) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Field-Tested) (purple)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ Five-SeveN | Boost Protocol (Field-Tested) (purple)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Field-Tested) (purple)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Well-Worn) (blue)
Revolver Case->Five-SeveN | Retrobution (Well-Worn) (purple)
Dreams & Nightmares Case->StatTrak™ MAG-7 | Foresight (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->Desert Eagle | Ocean Drive (Well-Worn) (red)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Factory New) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Prisma 2 Case->Desert Eagle | Blue Ply (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->Galil AR | Connexion (Field-Tested) (purple)
Fracture Case->P250 | Cassette (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->PP-Bizon | Runic (Battle-Scarred) (blue)
Fracture Case->StatTrak™ SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->Galil AR | Connexion (Minimal Wear) (purple)
Fracture Case->P90 | Freight (Field-Tested) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Field-Tested) (pink)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Minimal Wear) (purple)
Fracture Case->M4A4 | Tooth Fairy (Battle-Scarred) (pink)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->Negev | Ultralight (Factory New) (blue)
Spectrum Case->SCAR-20 | Blueprint (Minimal Wear) (blue)
Prisma 2 Case->AUG | Tom Cat (Minimal Wear) (blue)
Snakebite Case->M249 | O.S.I.P.R. (Minimal Wear) (blue)
Snakebite Case->StatTrak™ Negev | dev_texture (Minimal Wear) (purple)
Snakebite Case->UMP-45 | Oscillator (Field-Tested) (blue)
Snakebite Case->MP9 | Food Chain (Well-Worn) (pink)
Dreams & Nightmares Case->Five-SeveN | Scrawl (Battle-Scarred) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Prisma 2 Case->AUG | Tom Cat (Battle-Scarred) (blue)
Prisma 2 Case->CZ75-Auto | Distressed (Battle-Scarred) (blue)
Prisma 2 Case->StatTrak™ AWP | Capillary (Field-Tested) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Chroma 2 Case->Desert Eagle | Bronze Deco (Field-Tested) (blue)
Snakebite Case->SG 553 | Heavy Metal (Field-Tested) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Battle-Scarred) (blue)
Fracture Case->MAC-10 | Allure (Well-Worn) (purple)
Fracture Case->Tec-9 | Brother (Battle-Scarred) (purple)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Dreams & Nightmares Case->G3SG1 | Dream Glade (Battle-Scarred) (purple)
Clutch Case->UMP-45 | Arctic Wolf (Minimal Wear) (purple)
Fracture Case->PP-Bizon | Runic (Minimal Wear) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Prisma 2 Case->MP5-SD | Desert Strike (Minimal Wear) (blue)
Clutch Case->SG 553 | Aloha (Minimal Wear) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Dreams & Nightmares Case->PP-Bizon | Space Cat (Field-Tested) (purple)
Fracture Case->P2000 | Gnarled (Factory New) (blue)
Clutch Case->MP9 | Black Sand (Battle-Scarred) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Fracture Case->P2000 | Gnarled (Field-Tested) (blue)
Fracture Case->StatTrak™ MAC-10 | Allure (Battle-Scarred) (purple)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Dreams & Nightmares Case->MAG-7 | Foresight (Field-Tested) (blue)
Recoil Case->M4A4 | Poly Mag (Well-Worn) (blue)
Dreams & Nightmares Case->SCAR-20 | Poultrygeist (Minimal Wear) (blue)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Snakebite Case->UMP-45 | Oscillator (Minimal Wear) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Minimal Wear) (blue)
Snakebite Case->SG 553 | Heavy Metal (Minimal Wear) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Battle-Scarred) (blue)
Dreams & Nightmares Case->StatTrak™ Sawed-Off | Spirit Board (Minimal Wear) (blue)
Spectrum 2 Case->CZ75-Auto | Tacticat (Field-Tested) (purple)
Recoil Case->Dual Berettas | Flora Carnivora (Minimal Wear) (purple)
Fracture Case->P250 | Cassette (Battle-Scarred) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Minimal Wear) (blue)
Fracture Case->StatTrak™ PP-Bizon | Runic (Well-Worn) (blue)
Snakebite Case->AK-47 | Slate (Field-Tested) (purple)
Spectrum 2 Case->Sawed-Off | Morris (Well-Worn) (blue)
Fracture Case->Tec-9 | Brother (Field-Tested) (purple)
Fracture Case->SSG 08 | Mainframe 001 (Minimal Wear) (blue)
Fracture Case->P90 | Freight (Minimal Wear) (blue)
Dreams & Nightmares Case->MAC-10 | Ensnared (Battle-Scarred) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Well-Worn) (blue)
Dreams & Nightmares Case->StatTrak™ Five-SeveN | Scrawl (Well-Worn) (blue)
Dreams & Nightmares Case->PP-Bizon | Space Cat (Field-Tested) (purple)
Dreams & Nightmares Case->SCAR-20 | Poultrygeist (Factory New) (blue)
Dreams & Nightmares Case->Sawed-Off | Spirit Board (Battle-Scarred) (blue)
Dreams & Nightmares Case->G3SG1 | Dream Glade (Field-Tested) (purple)
Dreams & Nightmares Case->USP-S | Ticket to Hell (Minimal Wear) (purple)
Dreams & Nightmares Case->P2000 | Lifted Spirits (Factory New) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Battle-Scarred) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Field-Tested) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Well-Worn) (blue)
Dreams & Nightmares Case->StatTrak™ G3SG1 | Dream Glade (Factory New) (purple)
Dreams & Nightmares Case->SCAR-20 | Poultrygeist (Field-Tested) (blue)
Dreams & Nightmares Case->P2000 | Lifted Spirits (Battle-Scarred) (blue)
Dreams & Nightmares Case->XM1014 | Zombie Offensive (Field-Tested) (purple)
Dreams & Nightmares Case->MAG-7 | Foresight (Minimal Wear) (blue)
Chroma 3 Case->StatTrak™ Sawed-Off | Fubar (Battle-Scarred) (blue)
Chroma 3 Case->M249 | Spectre (Factory New) (blue)
Chroma 3 Case->MP9 | Bioleak (Factory New) (blue)
Chroma 3 Case->Tec-9 | Re-Entry (Minimal Wear) (purple)
Chroma 3 Case->MP9 | Bioleak (Field-Tested) (blue)
Chroma 3 Case->M249 | Spectre (Field-Tested) (blue)
Chroma 3 Case->G3SG1 | Orange Crash (Minimal Wear) (blue)
Chroma 3 Case->Sawed-Off | Fubar (Battle-Scarred) (blue)
Chroma 3 Case->XM1014 | Black Tie (Minimal Wear) (purple)
Chroma 3 Case->M249 | Spectre (Factory New) (blue)
Chroma 3 Case->M249 | Spectre (Field-Tested) (blue)
Chroma 3 Case->Sawed-Off | Fubar (Battle-Scarred) (blue)
Chroma 3 Case->Sawed-Off | Fubar (Well-Worn) (blue)
Chroma 3 Case->StatTrak™ Dual Berettas | Ventilators (Minimal Wear) (blue)
Chroma 3 Case->G3SG1 | Orange Crash (Minimal Wear) (blue)
Chroma 3 Case->M249 | Spectre (Field-Tested) (blue)
Chroma 3 Case->XM1014 | Black Tie (Field-Tested) (purple)
Chroma 3 Case->P2000 | Oceanic (Battle-Scarred) (blue)
Chroma 3 Case->G3SG1 | Orange Crash (Minimal Wear) (blue)
Chroma 3 Case->Tec-9 | Re-Entry (Field-Tested) (purple)
Dreams & Nightmares Case->Sawed-Off | Spirit Board (Well-Worn) (blue)
Dreams & Nightmares Case->P2000 | Lifted Spirits (Minimal Wear) (blue)
Dreams & Nightmares Case->USP-S | Ticket to Hell (Field-Tested) (purple)
Dreams & Nightmares Case->P2000 | Lifted Spirits (Minimal Wear) (blue)
Dreams & Nightmares Case->USP-S | Ticket to Hell (Factory New) (purple)
Dreams & Nightmares Case->StatTrak™ P2000 | Lifted Spirits (Minimal Wear) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Well-Worn) (blue)
Dreams & Nightmares Case->Five-SeveN | Scrawl (Field-Tested) (blue)
Dreams & Nightmares Case->Five-SeveN | Scrawl (Field-Tested) (blue)
Snakebite Case->StatTrak™ Nova | Windblown (Factory New) (blue)
Snakebite Case->StatTrak™ Nova | Windblown (Field-Tested) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Well-Worn) (blue)
Dreams & Nightmares Case->Sawed-Off | Spirit Board (Well-Worn) (blue)
Dreams & Nightmares Case->Five-SeveN | Scrawl (Field-Tested) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Minimal Wear) (blue)
Dreams & Nightmares Case->PP-Bizon | Space Cat (Field-Tested) (purple)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Factory New) (blue)
Dreams & Nightmares Case->P2000 | Lifted Spirits (Well-Worn) (blue)
Dreams & Nightmares Case->XM1014 | Zombie Offensive (Minimal Wear) (purple)
Snakebite Case->UMP-45 | Oscillator (Minimal Wear) (blue)
Snakebite Case->UMP-45 | Oscillator (Field-Tested) (blue)
Snakebite Case->M249 | O.S.I.P.R. (Minimal Wear) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Prisma 2 Case->Negev | Prototype (Field-Tested) (blue)
Snakebite Case->Nova | Windblown (Minimal Wear) (blue)
Snakebite Case->P250 | Cyber Shell (Field-Tested) (purple)
Snakebite Case->M249 | O.S.I.P.R. (Field-Tested) (blue)
Snakebite Case->SG 553 | Heavy Metal (Minimal Wear) (blue)
Fracture Case->StatTrak™ MAG-7 | Monster Call (Minimal Wear) (purple)
Fracture Case->MP5-SD | Kitbash (Field-Tested) (purple)
Fracture Case->SSG 08 | Mainframe 001 (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Minimal Wear) (blue)
Fracture Case->P250 | Cassette (Field-Tested) (blue)
Fracture Case->P90 | Freight (Battle-Scarred) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->P2000 | Gnarled (Battle-Scarred) (blue)
Fracture Case->P250 | Cassette (Minimal Wear) (blue)
Fracture Case->Desert Eagle | Printstream (Battle-Scarred) (red)
Fracture Case->P250 | Cassette (Well-Worn) (blue)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Field-Tested) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->MAC-10 | Allure (Field-Tested) (purple)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->MAG-7 | Monster Call (Well-Worn) (purple)
Fracture Case->MP5-SD | Kitbash (Field-Tested) (purple)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->Tec-9 | Brother (Field-Tested) (purple)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->Negev | Ultralight (Battle-Scarred) (blue)
Fracture Case->SG 553 | Ol' Rusty (Factory New) (blue)
Fracture Case->Negev | Ultralight (Battle-Scarred) (blue)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->P2000 | Gnarled (Minimal Wear) (blue)
Fracture Case->PP-Bizon | Runic (Battle-Scarred) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->Negev | Ultralight (Well-Worn) (blue)
Fracture Case->StatTrak™ Tec-9 | Brother (Well-Worn) (purple)
Fracture Case->P90 | Freight (Well-Worn) (blue)
Fracture Case->Tec-9 | Brother (Minimal Wear) (purple)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Gamma Case->MAC-10 | Carnivore (Field-Tested) (blue)
Snakebite Case->M249 | O.S.I.P.R. (Factory New) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Well-Worn) (blue)
Revolver Case->StatTrak™ AUG | Ricochet (Factory New) (blue)
Revolver Case->Sawed-Off | Yorick (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
